SEI,Modalidade,Criação,ETP,CLIC,Situação,Objeto,Demandante,Conclusão
061460/2021-79,Pregão,25/10/2021,07/02/2022,21/02/2022,Homologado,Material,PROGEPE,18/07/22
063066/2021-75,Pregão,03/11/2021,24/11/2021,23/11/2021,Homologado,Serviço,CLOG,05/01/22
063231/2021-99,Pregão,04/11/2021,01/12/2021,01/01/2021,Homologado,Material,PALOTINA,03/05/22
063926/2021-71,Pregão,08/11/2021,25/03/2022,28/03/2022,Homologado,Serviço,EDITORA,28/07/22
064461/2021-75,Pregão,09/11/2021,09/02/2022,03/03/2022,Homologado,Material,SUINFRA,28/06/22
064675/2021-41,Pregão,10/11/2021,07/07/2022,13/07/2022,Homologado,Serviço,PALOTINA,31/10/22
066065/2021-82,Pregão,16/11/2021,18/02/2022,18/02/2022,Homologado,Serviço,PROEC,06/06/22
065849/2021-93,Pregão,16/11/2021,18/02/2022,21/02/2022,Homologado,Serviço,CLIC,28/04/22
068283/2021-51,Pregão,24/11/2021,30/11/2021,15/12/2021,Homologado,Material,PALOTINA,17/02/22
068980/2021-11,Pregão,29/11/2021,09/12/2021,09/12/2021,Homologado,Material,ALMOX,25/03/22
069029/2021-71,Pregão,29/11/2021,18/03/2022,20/06/2022,Homologado,Material,CLIC,25/07/22
070794/2021-33,Pregão,03/12/2021,09/12/2021,09/12/2021,Homologado,Material,CLIC,17/02/22
074789/2021-08,Pregão,29/12/2021,13/01/2022,13/01/2022,Homologado,Material,PROEC,04/04/22
000110/2022-17,Pregão,03/01/2022,18/02/2022,21/02/2022,Homologado,Serviço,CLIC,20/05/22
000140/2022-23,Pregão,03/01/2022,03/02/2022,04/03/2022,Homologado,Serviço,CLIC,21/06/22
000134/2022-76,Pregão,03/01/2022,03/03/2022,04/03/2022,Homologado,Serviço,CLIC,21/06/22
000386/2022-03,Pregão,05/01/2022,02/02/2022,02/02/2022,Homologado,Serviço,CLIC,20/05/22
000374/2022-71,Pregão,05/01/2022,15/03/2022,16/03/2022,Homologado,Material,CLIC,20/05/22
000969/2022-26,Pregão,10/01/2022,21/01/2022,26/01/2022,Homologado,Material,PALOTINA,06/06/22
000942/2022-33,Pregão,10/01/2022,26/01/2022,26/01/2022,Homologado,Material,ALMOX,07/06/22
000978/2022-17,Pregão,10/01/2022,19/07/2022,25/07/2022,Homologado,Serviço,GR,30/11/22
001866/2022-83,Pregão,17/01/2022,12/11/2024,12/11/2024,Homologado,Obra,SUINFRA,15/01/25
